year,Site,scientific,Abun_mean,Abun_sd
2006,PGN1,Acanthurus grammoptilus,0,0
2006,PGN1,Kyphosus cornelii,13.75,34.32233569
2006,PGN1,Kyphosus sp,31.33333333,86.60813875
2006,PGN1,Odax cyanomelas,0.083333333,0.288675135
2006,PGN1,Parma mccullochi,0.083333333,0.288675135
2006,PGN1,Parma occidentalis,0.166666667,0.389249472
2006,PGN1,Pomacentrus sp,0.027777778,0.166666667
2006,PGN1,Scarus sp,0,0
2006,PGN1,Siganus fuscescens,3.75,10.10962638
2006,PGN2,Acanthurus grammoptilus,0,0
2006,PGN2,Kyphosus cornelii,0.083333333,0.288675135
2006,PGN2,Kyphosus sp,3.583333333,5.333570071
2006,PGN2,Odax cyanomelas,0,0
2006,PGN2,Parma mccullochi,0.083333333,0.288675135
2006,PGN2,Parma occidentalis,0.333333333,0.651338947
2006,PGN2,Pomacentrus sp,0,0
2006,PGN2,Scarus sp,0.083333333,0.288675135
2006,PGN2,Siganus fuscescens,1.5,5.196152423
2006,PGS2,Acanthurus grammoptilus,0,0
2006,PGS2,Kyphosus cornelii,0,0
2006,PGS2,Kyphosus sp,0.166666667,0.577350269
2006,PGS2,Odax cyanomelas,0.083333333,0.288675135
2006,PGS2,Parma mccullochi,0,0
2006,PGS2,Parma occidentalis,0.416666667,0.900336637
2006,PGS2,Pomacentrus sp,0.027777778,0.166666667
2006,PGS2,Scarus sp,0.666666667,1.497472618
2006,PGS2,Siganus fuscescens,0,0
2006,PGS3,Acanthurus grammoptilus,0,0
2006,PGS3,Kyphosus cornelii,0.25,0.866025404
2006,PGS3,Kyphosus sp,0.333333333,0.651338947
2006,PGS3,Odax cyanomelas,0,0
2006,PGS3,Parma mccullochi,0.083333333,0.288675135
2006,PGS3,Parma occidentalis,0.666666667,1.154700538
2006,PGS3,Pomacentrus sp,0.083333333,0.5
2006,PGS3,Scarus sp,0.833333333,1.337115847
2006,PGS3,Siganus fuscescens,0,0
2013,PGN1,Acanthurus grammoptilus,0.333333333,0.492365964
2013,PGN1,Kyphosus cornelii,8.166666667,7.383437649
2013,PGN1,Kyphosus sp,3.25,4.614699833
2013,PGN1,Odax cyanomelas,0,0
2013,PGN1,Parma mccullochi,0.333333333,0.887625365
2013,PGN1,Parma occidentalis,2.416666667,2.274696117
2013,PGN1,Pomacentrus sp,1.361111111,2.631162457
2013,PGN1,Scarus sp,2.416666667,2.234373344
2013,PGN1,Siganus fuscescens,12.83333333,20.23872675
2013,PGN2,Acanthurus grammoptilus,0.083333333,0.288675135
2013,PGN2,Kyphosus cornelii,1.833333333,1.749458791
2013,PGN2,Kyphosus sp,4.416666667,12.80950168
2013,PGN2,Odax cyanomelas,0,0
2013,PGN2,Parma mccullochi,0,0
2013,PGN2,Parma occidentalis,1.416666667,1.676486224
2013,PGN2,Pomacentrus sp,0.555555556,1.361605029
2013,PGN2,Scarus sp,5.166666667,6.102657146
2013,PGN2,Siganus fuscescens,20.91666667,48.84010709
2013,PGS2,Acanthurus grammoptilus,0.333333333,0.887625365
2013,PGS2,Kyphosus cornelii,0.666666667,0.778498944
2013,PGS2,Kyphosus sp,0.25,0.621581561
2013,PGS2,Odax cyanomelas,0,0
2013,PGS2,Parma mccullochi,0.333333333,0.651338947
